"","PreTx_mean","OnTx_mean","PreTx_median","OnTx_median","diff_med","diff_mean","pvalue","padj"
"ctype12_ctype1",174.22656824453,304.986978492503,130.908364896977,232.002155162404,-101.093790265427,-130.760410247973,4.26156429634206e-37,9.13192349216155e-37
"ctype12_ctype2",137.430231567399,218.589323249207,127.424487442563,156.732255773979,-29.3077683314157,-81.1590916818085,9.15527722258124e-40,2.74658316677437e-39
"ctype12_ctype3",32.3517251882906,77.9553434677093,13.6014705087354,62.2896460095897,-48.6881755008543,-45.6036182794187,5.51372695651319e-38,1.3784317391283e-37
"ctype12_ctype4",266.625624805334,52.4561516443926,263.618149188542,31.9530561335438,231.665093054998,214.169473160941,6.56367024197925e-104,4.92275268148444e-103
"ctype12_ctype5",109.103555153925,35.9963798196925,67.6387361936884,24.1867732448956,43.4519629487928,73.1071753342322,4.57710945308665e-46,1.71641604490749e-45
"ctype12_ctype6",183.947902016699,97.4492455469132,164.79987316685,35.4118173806319,129.388055786218,86.4986564697855,3.33734059855941e-29,6.25751362229889e-29
"ctype12_ctype7",298.788836817034,275.087712547821,276.067020848199,288.503874310279,-12.4368534620795,23.701124269213,0.112606140621066,0.120649436379713
"ctype12_ctype8",143.263569419837,217.798281319696,74.6860093993514,207.511445467473,-132.825436068122,-74.5347118998584,2.67491610658303e-21,4.01237415987455e-21
"ctype12_ctype9",164.354630477257,404.569288168106,120.307938225206,430.513057073943,-310.205118848737,-240.214657690849,2.09134151106633e-48,1.04567075553316e-47
"ctype12_ctype10",72.9109594376098,117.58450425603,43.3993053095763,105.344666371025,-61.9453610614487,-44.6735448184198,4.37303144782919e-27,7.28838574638198e-27
"ctype12_ctype11",139.679146713214,131.883207774624,105.995282808944,95.8801335001156,10.1151493088288,7.79593893858979,0.216875721928299,0.216875721928299
"ctype12_ctype12",30.705193493149,21.5610130998831,11.3137084989848,10.4403065089106,0.87340199007421,9.1441803932659,0.000191339213928568,0.000220776016071425
"ctype12_ctype13",89.367022826566,286.059243950371,55.5786091056265,286.353790629098,-230.775181523471,-196.692221123805,9.12101992218717e-138,1.36815298832807e-136
"ctype12_ctype14",150.678625270824,189.287652408285,117.219877288639,154.40207252495,-37.1821952363111,-38.609027137461,5.77102973896047e-09,7.21378717370058e-09
"ctype12_ctype15",53.6995992428326,28.8055061285762,27.459060435492,17.2046505340853,10.2544099014067,24.8940931142563,1.83547468163356e-17,2.50292002040941e-17
